WARNING 2025-09-01 19:41:25,122 log Bad Request: /api/disconnect-email-account/
WARNING 2025-09-01 19:41:25,123 basehttp "POST /api/disconnect-email-account/ HTTP/1.1" 400 79
WARNING 2025-09-01 19:41:35,214 log Bad Request: /api/disconnect-email-account/
WARNING 2025-09-01 19:41:35,215 basehttp "POST /api/disconnect-email-account/ HTTP/1.1" 400 79
INFO 2025-09-01 19:41:39,797 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 19:41:39,802 basehttp "GET /api/get-emails/ HTTP/1.1" 200 7286
INFO 2025-09-01 19:41:39,807 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 19:41:39,826 basehttp "GET /api/get-emails/ HTTP/1.1" 200 7286
INFO 2025-09-01 19:42:02,600 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 19:42:02,604 basehttp "GET /api/get-emails/ HTTP/1.1" 200 7707
INFO 2025-09-01 19:42:02,613 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 19:42:02,620 basehttp "GET /api/get-emails/ HTTP/1.1" 200 7707
WARNING 2025-09-01 19:42:34,052 log Bad Request: /api/disconnect-email-account/
WARNING 2025-09-01 19:42:34,053 basehttp "POST /api/disconnect-email-account/ HTTP/1.1" 400 79
WARNING 2025-09-01 19:43:07,236 log Bad Request: /api/disconnect-email-account/
WARNING 2025-09-01 19:43:07,237 basehttp "POST /api/disconnect-email-account/ HTTP/1.1" 400 79
WARNING 2025-09-01 19:43:18,798 log Bad Request: /api/disconnect-email-account/
WARNING 2025-09-01 19:43:18,798 basehttp "POST /api/disconnect-email-account/ HTTP/1.1" 400 79
INFO 2025-09-01 19:45:50,530 autoreload D:\AI powered Email Automation - Copy\backend\email_automation_backend\User\views.py changed, reloading.
INFO 2025-09-01 19:45:52,785 autoreload Watching for file changes with StatReloader
INFO 2025-09-01 19:46:26,785 autoreload D:\AI powered Email Automation - Copy\backend\email_automation_backend\User\views.py changed, reloading.
INFO 2025-09-01 19:46:28,169 autoreload Watching for file changes with StatReloader
INFO 2025-09-01 19:47:39,339 autoreload Watching for file changes with StatReloader
INFO 2025-09-01 19:47:45,615 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 19:47:45,619 basehttp "GET /api/get-emails/ HTTP/1.1" 200 7707
INFO 2025-09-01 19:47:45,634 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 19:47:45,634 basehttp "GET /api/get-emails/ HTTP/1.1" 200 7707
WARNING 2025-09-01 19:47:48,974 log Bad Request: /api/disconnect-email-account/
WARNING 2025-09-01 19:47:48,975 basehttp "POST /api/disconnect-email-account/ HTTP/1.1" 400 79
INFO 2025-09-01 19:47:57,850 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 19:47:57,856 basehttp "GET /api/get-emails/ HTTP/1.1" 200 7707
INFO 2025-09-01 19:47:57,865 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 19:47:57,871 basehttp "GET /api/get-emails/ HTTP/1.1" 200 7707
WARNING 2025-09-01 19:48:01,035 log Bad Request: /api/disconnect-email-account/
WARNING 2025-09-01 19:48:01,046 basehttp "POST /api/disconnect-email-account/ HTTP/1.1" 400 79
INFO 2025-09-01 19:52:16,641 basehttp "GET /admin/Ai_processing/aiprocessingsettings/ HTTP/1.1" 200 22109
INFO 2025-09-01 19:52:16,677 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-01 19:52:18,329 basehttp "GET /admin/Accounts/user/ HTTP/1.1" 200 20004
INFO 2025-09-01 19:52:18,366 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-01 19:52:26,926 basehttp "GET /admin/User/emailaccount/ HTTP/1.1" 200 17867
INFO 2025-09-01 19:52:26,959 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-01 19:54:00,983 autoreload D:\AI powered Email Automation - Copy\backend\email_automation_backend\User\views.py changed, reloading.
INFO 2025-09-01 19:54:02,537 autoreload Watching for file changes with StatReloader
INFO 2025-09-01 19:55:13,521 autoreload Watching for file changes with StatReloader
